행정동,통,반,관할구역
배곧2동,1,1,배곧동 191 호반써밋플레이스 101동
배곧2동,1,2,배곧동 191 호반써밋플레이스 102동
배곧2동,1,3,배곧동 191 호반써밋플레이스 103동
배곧2동,2,1,배곧동 191 호반써밋플레이스 104동
배곧2동,2,2,배곧동 191 호반써밋플레이스 105동
배곧2동,2,3,"배곧동 191 호반써밋플레이스 106동, 상가"
배곧2동,3,1,배곧동 196-1 로얄 3차
배곧2동,3,2,배곧동 196-2 로얄 4차
배곧2동,4,1,배곧동 198-1 로얄 1차
배곧2동,4,2,배곧동 198-2 로얄 2차
배곧2동,5,1,배곧동 200-2 배곧유호 N-CITY 1차
배곧2동,6,1,배곧동 206-4 문영퀸즈
배곧2동,6,2,"배곧동 202, 203 롯데마트, 배곧동 204 베니스스퀘어"
배곧2동,7,1,배곧동 206-3 두손
배곧2동,8,1,"배곧동 199-1, 199-2, 200-1"
배곧2동,8,2,"배곧동 193-1, 193-2, 193-3, 194-1, 194-2"
배곧2동,8,3,배곧동 214 아브뉴프랑 레드
배곧2동,8,4,배곧동 215 아브뉴프랑 오렌지
배곧2동,8,5,배곧동 216 아브뉴프랑 옐로우
배곧2동,8,6,배곧동 218 아브뉴프랑 그린
배곧2동,8,7,배곧동 219 아브뉴프랑 블루
배곧2동,8,8,배곧동 220 아브뉴프랑 퍼플
배곧2동,9,1,배곧동 221 호반써밋플레이스 201동
배곧2동,9,2,배곧동 221 호반써밋플레이스 202동
배곧2동,9,3,배곧동 221 호반써밋플레이스 203동
배곧2동,10,1,배곧동 221 호반써밋플레이스 204동
배곧2동,10,2,배곧동 221 호반써밋플레이스 205동
배곧2동,10,3,"배곧동 221 호반써밋플레이스 206동, 상가"
배곧2동,11,1,배곧동 226-3 로얄 7차
배곧2동,11,2,배곧동 226-2 로얄 8차
배곧2동,11,3,"배곧동 224-1, 224-2 해든트윈스"
배곧2동,12,1,배곧동 228-3 로얄 5차
배곧2동,12,2,배곧동 228-2 로얄 6차
배곧2동,13,1,배곧동 223-1 로얄 9차
배곧2동,13,2,배곧동 223-2 에토스
배곧2동,14,1,배곧동 229-1 유호N-CITY 2차
배곧2동,14,2,"배곧동 230, 231"
배곧2동,15,1,배곧동 233 A동 헤리움 2차
배곧2동,16,1,배곧동 233 B동 헤리움 2차
배곧2동,17,1,배곧동 234 A동 헤리움 1차
배곧2동,17,2,배곧동 239
배곧2동,18,1,배곧동 234 B동 헤리움 1차
배곧2동,19,1,배곧동 251 서울대학교 시흥캠퍼스주택 101동
배곧2동,19,2,배곧동 251 서울대학교 시흥캠퍼스주택 102동
배곧2동,19,3,배곧동 251 서울대학교 시흥캠퍼스주택 103동
배곧2동,19,4,배곧동 251 서울대학교 시흥캠퍼스주택 104동
배곧2동,19,5,배곧동 242
배곧2동,20,1,"배곧동 243 한라비발디캠퍼스 101동, 상가"
배곧2동,20,2,배곧동 243 한라비발디캠퍼스 102동
배곧2동,21,1,배곧동 243 한라비발디캠퍼스 103동
배곧2동,21,2,배곧동 243 한라비발디캠퍼스 104동
배곧2동,22,1,배곧동 243 한라비발디캠퍼스 105동
배곧2동,22,2,배곧동 243 한라비발디캠퍼스 106동
배곧2동,23,1,배곧동 243 한라비발디캠퍼스 107동
배곧2동,23,2,배곧동 243 한라비발디캠퍼스 108동
배곧2동,24,1,배곧동 243 한라비발디캠퍼스 109동
배곧2동,24,2,배곧동 243 한라비발디캠퍼스 110동
배곧2동,25,1,배곧동 243 한라비발디캠퍼스 111동
배곧2동,25,2,배곧동 243 한라비발디캠퍼스 112동
배곧2동,26,1,"배곧동 245 한라비발디캠퍼스 201동, 상가"
배곧2동,26,2,배곧동 245 한라비발디캠퍼스 202동
배곧2동,27,1,배곧동 245 한라비발디캠퍼스 203동
배곧2동,27,2,배곧동 245 한라비발디캠퍼스 204동
배곧2동,28,1,배곧동 245 한라비발디캠퍼스 205동
배곧2동,28,2,배곧동 245 한라비발디캠퍼스 206동
배곧2동,29,1,배곧동 245 한라비발디캠퍼스 207동
배곧2동,29,2,배곧동 245 한라비발디캠퍼스 208동
배곧2동,30,1,배곧동 245 한라비발디캠퍼스 209동
배곧2동,30,2,배곧동 245 한라비발디캠퍼스 210동
배곧2동,31,1,배곧동 245 한라비발디캠퍼스 211동
배곧2동,31,2,배곧동 245 한라비발디캠퍼스 212동
배곧2동,32,1,배곧동 262 한라비발디캠퍼스 301동
배곧2동,32,2,배곧동 262 한라비발디캠퍼스 302동
배곧2동,33,1,"배곧동 262 한라비발디캠퍼스 303동, 상가"
배곧2동,33,2,배곧동 262 한라비발디캠퍼스 304동
배곧2동,34,1,배곧동 262 한라비발디캠퍼스 305동
배곧2동,34,2,배곧동 262 한라비발디캠퍼스 306동
배곧2동,35,1,"배곧동 279 이지더원 에듀그린 201동, 상가"
배곧2동,35,2,배곧동 279 이지더원 에듀그린 202동
배곧2동,35,3,배곧동 279 이지더원 에듀그린 203동
배곧2동,35,4,배곧동 279 이지더원 에듀그린 204동
배곧2동,35,5,배곧동 279 이지더원 에듀그린 205동
배곧2동,35,6,배곧동 279 이지더원 에듀그린 206동
배곧2동,35,7,배곧동 279 이지더원 에듀그린 207동
배곧2동,36,1,배곧동 279 이지더원 에듀그린 208동
배곧2동,36,2,배곧동 279 이지더원 에듀그린 209동
배곧2동,36,3,배곧동 279 이지더원 에듀그린 210동
배곧2동,36,4,배곧동 279 이지더원 에듀그린 211동
배곧2동,36,5,배곧동 279 이지더원 에듀그린 212동
배곧2동,36,6,배곧동 279 이지더원 에듀그린 213동
배곧2동,36,7,배곧동 279 이지더원 에듀그린 214동
배곧2동,36,8,배곧동 279 이지더원 에듀그린 215동
배곧2동,37,1,배곧2동 중 1통 ~ 36통 제외
